Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IntAgeGroup,IntFareGroup,IntTitle,IntSex,IntEmbarked,IntTicket
0,1,28.0,1,0,82.1708,1,0,5,0,0,1,33
0,1,42.0,1,0,52.0,1,5,2,0,0,0,34
1,3,42.266096787817276,0,0,7.2292,0,5,0,0,0,1,35
0,3,21.0,0,0,8.05,0,0,0,0,0,0,36
0,3,18.0,2,0,18.0,2,4,0,2,1,0,37
1,3,14.0,1,0,11.2417,1,4,0,2,1,1,38
0,3,40.0,1,0,9.475,1,1,0,1,1,0,39
0,2,27.0,1,0,21.0,1,0,3,1,1,0,40
0,3,31.820999839278254,0,0,7.8958,0,1,0,0,0,1,41
1,2,3.0,1,2,41.5792,3,3,2,2,1,1,42
1,3,19.0,0,0,7.8792,0,4,0,2,1,2,43
0,3,51.47525879267831,0,0,8.05,0,2,0,0,0,0,44
0,3,6.061531547024689,1,0,15.5,1,3,0,0,0,2,45
1,3,40.28873527941702,0,0,7.75,0,5,0,2,1,2,46
0,3,37.2598652022055,2,0,21.6792,2,1,3,0,0,1,47
0,3,18.0,1,0,17.8,1,4,0,1,1,0,48
0,3,7.0,4,1,39.6875,5,3,3,0,0,0,49
0,3,21.0,0,0,7.8,0,0,0,0,0,0,50
1,1,49.0,1,0,76.7292,1,5,1,1,1,1,51
1,2,29.0,1,0,26.0,1,0,3,1,1,0,52
0,1,65.0,0,1,61.9792,1,6,1,0,0,1,53
1,1,44.002305682902104,0,0,35.5,0,5,3,0,0,0,54
1,2,21.0,0,0,10.5,0,0,0,2,1,0,55
0,3,28.5,0,0,7.2292,0,0,0,0,0,1,56
1,2,5.0,1,2,27.75,3,3,3,2,1,0,57
0,3,11.0,5,2,46.9,7,4,2,0,0,0,58
0,3,22.0,0,0,7.2292,0,0,0,0,0,1,59
1,1,38.0,0,0,80.0,0,1,1,2,1,0,60
0,1,45.0,1,0,83.475,1,5,5,0,0,0,61
0,3,4.0,3,2,27.9,5,3,3,0,0,0,62
0,1,35.4288896673928,0,0,27.7208,0,1,3,0,0,1,63
1,3,6.479458238351622,1,1,15.2458,2,3,0,2,0,1,64
1,2,29.0,0,0,10.5,0,0,0,1,1,0,65
0,3,19.0,0,0,8.1583,0,4,0,0,0,0,66
1,3,17.0,4,2,7.925,6,4,0,2,1,0,67
0,3,26.0,2,0,8.6625,2,0,0,0,0,0,68
0,2,32.0,0,0,10.5,0,1,0,0,0,0,69
0,3,16.0,5,2,46.9,7,4,2,2,1,0,58
0,2,21.0,0,0,73.5,0,0,1,0,0,0,70
0,3,26.0,1,0,14.4542,1,0,0,0,0,1,71
1,3,32.0,0,0,56.4958,0,1,2,0,0,0,72
0,3,25.0,0,0,7.65,0,0,0,0,0,0,73
0,3,28.65955014132924,0,0,7.8958,0,0,0,0,0,0,74
0,3,41.40743725182724,0,0,8.05,0,5,0,0,0,0,75
1,2,0.83,0,2,29.0,2,3,3,0,0,0,76
1,3,30.0,0,0,12.475,0,0,0,2,1,0,77
0,3,22.0,0,0,9.0,0,0,0,0,0,0,78
1,3,29.0,0,0,9.5,0,0,0,0,0,0,79
1,3,35.69899973925219,0,0,7.7875,0,1,0,2,1,2,80
0,1,28.0,0,0,47.1,0,0,2,0,0,0,81
1,2,17.0,0,0,10.5,0,4,0,2,1,0,82
1,3,33.0,3,0,15.85,3,1,0,1,1,0,83
0,3,16.0,1,3,34.375,4,4,3,0,0,0,84
0,3,41.498820420025666,0,0,8.05,0,5,0,0,0,0,85
1,1,23.0,3,2,263.0,5,0,4,2,1,0,26
0,3,24.0,0,0,8.05,0,0,0,0,0,0,86
0,3,29.0,0,0,8.05,0,0,0,0,0,0,87
0,3,20.0,0,0,7.8542,0,4,0,0,0,0,88
0,1,46.0,1,0,61.175,1,5,1,0,0,0,89
0,3,26.0,1,2,20.575,3,0,3,0,0,0,90
0,3,59.0,0,0,7.25,0,2,0,0,0,0,91
0,3,23.91615071303033,0,0,8.05,0,0,0,0,0,0,92
0,1,71.0,0,0,34.6542,0,6,3,0,0,1,93
1,1,23.0,0,1,63.3583,1,0,1,0,0,1,94
1,2,34.0,0,1,23.0,1,1,3,1,1,0,95
0,2,34.0,1,0,26.0,1,1,3,0,0,0,96
0,3,28.0,0,0,7.8958,0,0,0,2,1,0,97
0,3,41.07057435347754,0,0,7.8958,0,5,0,0,0,0,98
0,1,21.0,0,1,77.2875,1,0,1,0,0,0,99
0,3,33.0,0,0,8.6542,0,1,0,0,0,0,100
0,3,37.0,2,0,7.925,2,1,0,0,0,0,101
0,3,28.0,0,0,7.8958,0,0,0,0,0,0,102
1,3,21.0,0,0,7.65,0,0,0,2,1,0,103
1,3,52.95816020798445,0,0,7.775,0,2,0,0,0,0,104
0,3,38.0,0,0,7.8958,0,1,0,0,0,0,105
1,3,28.10405067734148,1,0,24.15,1,0,3,2,1,2,106
0,1,47.0,0,0,52.0,0,5,2,0,0,0,107
0,3,14.5,1,0,14.4542,1,4,0,2,1,1,108
0,3,22.0,0,0,8.05,0,0,0,0,0,0,109
0,3,20.0,1,0,9.825,1,4,0,2,1,0,110
0,3,17.0,0,0,14.4583,0,4,0,2,1,1,111
0,3,21.0,0,0,7.925,0,0,0,0,0,0,112
0,3,70.5,0,0,7.75,0,6,0,0,0,2,113
0,2,29.0,1,0,21.0,1,0,3,0,0,0,40
0,1,24.0,0,1,247.5208,1,0,4,0,0,1,114
0,3,2.0,4,2,31.275,6,3,3,2,1,0,13
0,2,21.0,2,0,73.5,2,0,1,0,0,0,70
0,3,27.643554091335307,0,0,8.05,0,0,0,0,0,0,115
0,2,32.5,1,0,30.0708,1,1,3,0,0,1,9
1,2,32.5,0,0,13.0,0,1,0,2,1,0,116
0,1,54.0,0,1,77.2875,1,2,1,0,0,0,99
1,3,12.0,1,0,11.2417,1,4,0,1,0,1,38
0,3,22.6071102518043,0,0,7.75,0,0,0,0,0,2,117
1,3,24.0,0,0,7.1417,0,0,0,0,0,0,118
1,3,6.36019273791096,1,1,22.3583,2,3,3,2,1,1,119
0,3,45.0,0,0,6.975,0,5,0,0,0,0,120
0,3,33.0,0,0,7.8958,0,1,0,0,0,1,121
0,3,20.0,0,0,7.05,0,4,0,0,0,0,122
0,3,47.0,1,0,14.5,1,5,0,1,1,0,123
1,2,29.0,1,0,26.0,1,0,3,1,1,0,124
0,2,25.0,0,0,13.0,0,0,0,0,0,0,125
0,2,23.0,0,0,15.0458,0,0,0,0,0,1,126
1,1,19.0,0,2,26.2833,2,4,3,2,1,0,127
0,1,37.0,1,0,53.1,1,1,2,0,0,0,3
0,3,16.0,0,0,9.2167,0,4,0,0,0,0,128
0,1,24.0,0,0,79.2,0,0,1,0,0,1,129
0,3,14.824588823044461,0,2,15.2458,2,4,0,1,1,1,130
1,3,22.0,0,0,7.75,0,0,0,2,1,0,131
1,3,24.0,1,0,15.85,1,0,0,1,1,0,132
0,3,19.0,0,0,6.75,0,4,0,0,0,2,133
0,2,18.0,0,0,11.5,0,4,0,0,0,0,134
0,2,19.0,1,1,36.75,2,4,3,0,0,0,135
1,3,27.0,0,0,7.7958,0,0,0,0,0,0,136
0,3,9.0,2,2,34.375,4,3,3,2,1,0,84
0,2,36.5,0,2,26.0,2,1,3,0,0,0,137
0,2,42.0,0,0,13.0,0,5,0,1,0,0,138
0,2,51.0,0,0,12.525,0,2,0,1,0,0,139
1,1,22.0,1,0,66.6,1,0,1,1,1,0,140
0,3,55.5,0,0,8.05,0,2,0,0,0,0,141
0,3,40.5,0,2,14.5,2,5,0,0,0,0,142
0,3,18.545344354639546,0,0,7.3125,0,4,0,0,0,0,143
0,1,51.0,0,1,61.3792,1,2,1,0,0,1,144
1,3,16.0,0,0,7.7333,0,4,0,2,1,2,145
0,3,30.0,0,0,8.05,0,0,0,0,0,0,146
0,3,30.26507841339989,0,0,8.6625,0,1,0,0,0,0,147
0,3,34.16615148296687,8,2,69.55,10,1,1,1,0,0,148
0,3,44.0,0,1,16.1,1,5,0,0,0,0,149
1,2,40.0,0,0,15.75,0,1,0,1,1,0,150
0,3,26.0,0,0,7.775,0,0,0,0,0,0,151
0,3,17.0,0,0,8.6625,0,4,0,0,0,0,152
0,3,1.0,4,1,39.6875,5,3,3,0,0,0,49
1,3,9.0,0,2,20.525,2,3,3,2,0,0,153
1,1,14.353290389491619,0,1,55.0,1,4,2,1,1,0,154
0,3,45.0,1,4,27.9,5,5,3,1,1,0,62
0,1,44.81693375382275,0,0,25.925,0,5,3,0,0,0,155
0,3,28.0,0,0,56.4958,0,0,2,0,0,0,72
0,1,61.0,0,0,33.5,0,6,3,0,0,0,156
0,3,4.0,4,1,29.125,5,3,3,2,0,2,16
1,3,1.0,1,1,11.1333,2,3,0,2,1,0,8
0,3,21.0,0,0,7.925,0,0,0,0,0,0,157
0,1,56.0,0,0,30.6958,0,2,3,0,0,1,158
0,3,18.0,1,1,7.8542,2,4,0,0,0,0,159
0,3,38.609894135714015,3,1,25.4667,4,1,3,1,0,0,160
0,1,50.0,0,0,28.7125,0,5,3,2,1,1,161
0,2,30.0,0,0,13.0,0,0,0,0,0,0,162
0,3,36.0,0,0,0.0,0,1,0,0,0,0,163
0,3,10.551520549622811,8,2,69.55,10,4,1,2,1,0,148
0,2,28.98640233430209,0,0,15.05,0,0,0,0,0,1,164
0,3,9.0,4,2,31.3875,6,3,3,2,0,0,24
1,2,1.0,2,1,39.0,3,3,3,0,0,0,165
1,3,4.0,0,2,22.025,2,3,3,2,1,0,166
0,1,12.828275926138456,0,0,50.0,0,4,2,0,0,0,167
1,3,46.09316831710696,1,0,15.5,1,5,0,1,1,2,168
1,1,45.0,0,0,26.55,0,5,3,0,0,0,169
0,3,40.0,1,1,15.5,2,1,0,0,0,2,170
0,3,36.0,0,0,7.8958,0,1,0,0,0,0,171
1,2,32.0,0,0,13.0,0,1,0,1,1,0,172
0,2,19.0,0,0,13.0,0,4,0,0,0,0,173
1,3,19.0,1,0,7.8542,1,4,0,2,1,0,174
1,2,3.0,1,1,26.0,2,3,3,2,0,0,137
1,1,44.0,0,0,27.7208,0,5,3,1,1,1,175
1,1,58.0,0,0,146.5208,0,2,4,2,1,1,30
0,3,8.675158203515156,0,0,7.75,0,3,0,0,0,2,176
0,3,42.0,0,1,8.4042,1,5,0,0,0,0,177
1,3,35.10095181497228,0,0,7.75,0,1,0,2,1,2,178
0,2,24.0,0,0,13.0,0,0,0,2,1,0,179
0,3,28.0,0,0,9.5,0,0,0,0,0,0,180
0,3,48.99082671355201,8,2,69.55,10,5,1,0,0,0,148
0,3,34.0,0,0,6.4958,0,1,0,0,0,0,181
0,3,45.5,0,0,7.225,0,5,0,0,0,1,182
1,3,18.0,0,0,8.05,0,4,0,0,0,0,183
0,3,2.0,0,1,10.4625,1,3,0,2,1,0,184
0,3,32.0,1,0,15.85,1,1,0,0,0,0,83
1,3,26.0,0,0,18.7875,0,0,0,0,0,1,185
1,3,16.0,0,0,7.75,0,4,0,2,1,2,186
1,1,40.0,0,0,31.0,0,1,3,0,0,1,187
0,3,24.0,0,0,7.05,0,0,0,0,0,0,188
1,2,35.0,0,0,21.0,0,1,3,2,1,0,189
0,3,22.0,0,0,7.25,0,0,0,0,0,0,190
0,2,30.0,0,0,13.0,0,0,0,0,0,0,191
0,3,27.20003136733804,1,0,7.75,1,0,0,0,0,2,192
1,1,31.0,1,0,113.275,1,1,4,2,1,1,193
1,3,27.0,0,0,7.925,0,0,0,2,1,0,194
0,2,42.0,1,0,27.0,1,5,3,0,0,0,195
1,1,32.0,0,0,76.2917,0,1,1,2,1,1,196
0,2,30.0,0,0,10.5,0,0,0,0,0,0,197
1,3,16.0,0,0,8.05,0,4,0,0,0,0,198
0,2,27.0,0,0,13.0,0,0,0,0,0,0,199
0,3,51.0,0,0,8.05,0,2,0,0,0,0,200
0,3,25.20945589471927,0,0,7.8958,0,0,0,0,0,0,201
1,1,38.0,1,0,90.0,1,1,5,0,0,0,202
0,3,22.0,0,0,9.35,0,0,0,0,0,0,203
1,2,19.0,0,0,10.5,0,4,0,0,0,0,204
0,3,20.5,0,0,7.25,0,0,0,0,0,0,205
0,2,18.0,0,0,13.0,0,4,0,0,0,0,206
0,3,53.258366986249044,3,1,25.4667,4,2,3,2,1,0,160
1,1,35.0,1,0,83.475,1,1,5,1,1,0,61
0,3,29.0,0,0,7.775,0,0,0,0,0,0,207
0,2,59.0,0,0,13.5,0,2,0,0,0,0,208
1,3,5.0,4,2,31.3875,6,3,3,2,1,0,24
0,2,24.0,0,0,10.5,0,0,0,0,0,0,209
0,3,17.55586421851567,0,0,7.55,0,4,0,2,1,0,210
0,2,44.0,1,0,26.0,1,5,3,0,0,0,211
1,2,8.0,0,2,26.25,2,3,3,2,1,0,212
0,2,19.0,0,0,10.5,0,4,0,0,0,0,213
0,2,33.0,0,0,12.275,0,1,0,0,0,0,214
0,3,29.24838548702387,1,0,14.4542,1,0,0,2,1,1,108
1,3,73.39712146289462,1,0,15.5,1,6,0,2,1,2,215
0,2,29.0,0,0,10.5,0,0,0,0,0,0,216
0,3,22.0,0,0,7.125,0,0,0,0,0,0,217
0,3,30.0,0,0,7.225,0,0,0,0,0,1,218
0,1,44.0,2,0,90.0,2,5,5,0,0,2,219
0,3,25.0,0,0,7.775,0,0,0,2,1,0,220
1,2,24.0,0,2,14.5,2,0,0,1,1,0,221
1,1,37.0,1,1,52.5542,2,1,2,0,0,0,222
0,2,54.0,1,0,26.0,1,2,3,0,0,0,223
0,3,28.09569992819991,0,0,7.25,0,0,0,0,0,0,224
0,3,29.0,1,1,10.4625,2,0,0,1,1,0,184
0,1,62.0,0,0,26.55,0,6,3,0,0,0,225
0,3,30.0,1,0,16.1,1,0,0,0,0,0,226
0,3,41.0,0,2,20.2125,2,5,3,1,1,0,227
1,3,29.0,0,2,15.2458,2,0,0,1,1,1,228
1,1,31.998953587399846,0,0,79.2,0,1,1,1,1,1,229
1,1,30.0,0,0,86.5,0,0,5,2,1,0,230
1,1,35.0,0,0,512.3292,0,1,-1,2,1,1,231
1,2,50.0,0,1,26.0,1,5,3,1,1,0,232
0,3,44.9929753634285,0,0,7.75,0,5,0,0,0,2,233
1,3,3.0,4,2,31.3875,6,3,3,2,0,0,24
0,1,52.0,1,1,79.65,2,2,1,0,0,0,234
0,1,40.0,0,0,0.0,0,1,0,0,0,0,235
0,3,27.036070156662916,0,0,7.75,0,0,0,2,1,2,236
0,2,36.0,0,0,10.5,0,1,0,0,0,0,237
0,3,16.0,4,1,39.6875,5,4,3,0,0,0,49
1,3,25.0,1,0,7.775,1,0,0,0,0,0,238
1,1,58.0,0,1,153.4625,1,2,4,1,1,0,239
1,1,35.0,0,0,135.6333,0,1,4,2,1,0,240
0,1,39.12187431251091,0,0,31.0,0,1,3,0,0,0,241
1,3,25.0,0,0,0.0,0,0,0,0,0,0,163
1,2,41.0,0,1,19.5,1,5,0,1,1,0,242
0,1,37.0,0,1,29.7,1,1,3,0,0,1,243
1,3,31.117516316731134,0,0,7.75,0,1,0,2,1,2,244
1,1,63.0,1,0,77.9583,1,6,1,2,1,0,245
0,3,45.0,0,0,7.75,0,5,0,2,1,0,246
0,2,44.26628218724929,0,0,0.0,0,5,0,0,0,0,247
0,3,7.0,4,1,29.125,5,3,3,0,0,2,16
1,3,35.0,1,1,20.25,2,1,3,1,1,0,248
0,3,65.0,0,0,7.75,0,6,0,0,0,2,249
0,3,28.0,0,0,7.8542,0,0,0,0,0,0,250
0,3,16.0,0,0,9.5,0,4,0,0,0,0,251
1,3,19.0,0,0,8.05,0,4,0,0,0,0,252
0,1,15.530867379393376,0,0,26.0,0,4,3,0,0,0,253
0,3,33.0,0,0,8.6625,0,1,0,0,0,1,254
1,3,30.0,0,0,9.5,0,0,0,0,0,0,255
0,3,22.0,0,0,7.8958,0,0,0,0,0,0,256
1,2,42.0,0,0,13.0,0,5,0,0,0,0,257
1,3,22.0,0,0,7.75,0,0,0,2,1,2,258
1,1,26.0,0,0,78.85,0,0,1,2,1,0,259
1,1,19.0,1,0,91.0792,1,4,5,1,1,1,260
0,2,36.0,0,0,12.875,0,1,0,0,0,1,261
0,3,24.0,0,0,8.85,0,0,0,2,1,0,262
0,3,24.0,0,0,7.8958,0,0,0,0,0,0,263
0,1,19.66821519215192,0,0,27.7208,0,4,3,0,0,1,264
0,3,23.5,0,0,7.2292,0,0,0,0,0,1,265
0,1,2.0,1,2,151.55,3,3,4,2,1,0,266
1,1,44.148621556165835,0,0,30.5,0,5,3,0,0,0,267
1,1,50.0,0,1,247.5208,1,5,4,1,1,1,114
1,3,43.791732768196425,0,0,7.75,0,5,0,2,1,2,268
1,3,33.19175338051824,2,0,23.25,2,1,3,0,0,2,269
0,3,19.0,0,0,0.0,0,4,0,0,0,0,163
1,2,49.418207744187505,0,0,12.35,0,5,0,2,1,2,270
0,3,40.64696554275012,0,0,8.05,0,5,0,0,0,0,271
1,1,0.92,1,2,151.55,3,3,4,0,0,0,266
1,1,9.757497296433208,0,0,110.8833,0,3,4,2,1,1,272
1,1,17.0,1,0,108.9,1,4,4,1,1,1,273
0,2,30.0,1,0,24.0,1,0,3,0,0,1,274
1,1,30.0,0,0,56.9292,0,0,2,2,1,1,275
1,1,24.0,0,0,83.1583,0,0,5,2,1,1,276
1,1,18.0,2,2,262.375,4,4,4,2,1,1,277
0,2,26.0,1,1,26.0,2,0,3,1,1,0,278
0,3,28.0,0,0,7.8958,0,0,0,0,0,0,279
0,2,43.0,1,1,26.25,2,5,3,0,0,0,280
1,3,26.0,0,0,7.8542,0,0,0,2,1,0,281
1,2,24.0,1,0,26.0,1,0,3,1,1,0,96
0,2,54.0,0,0,14.0,0,2,0,0,0,0,282
1,1,31.0,0,2,164.8667,2,1,4,2,1,0,283
1,1,40.0,1,1,134.5,2,1,4,1,1,1,284
0,3,22.0,0,0,7.25,0,0,0,0,0,0,285
0,3,27.0,0,0,7.8958,0,0,0,0,0,0,286
1,2,30.0,0,0,12.35,0,0,0,2,1,2,287
1,2,22.0,1,1,29.0,2,0,3,1,1,0,76
0,3,33.23832941804362,8,2,69.55,10,1,1,0,0,0,148
1,1,36.0,0,0,135.6333,0,1,4,2,1,1,240
0,3,61.0,0,0,6.2375,0,6,0,0,0,0,288
1,2,36.0,0,0,13.0,0,1,0,1,1,0,289
1,3,31.0,1,1,20.525,2,1,3,1,1,0,153
1,1,16.0,0,1,57.9792,1,4,2,2,1,1,290
1,3,49.60387355023798,2,0,23.25,2,5,3,2,1,2,269
0,1,45.5,0,0,28.5,0,5,3,0,0,0,291
0,1,38.0,0,1,153.4625,1,1,4,0,0,0,239
0,3,16.0,2,0,18.0,2,4,0,0,0,0,37
1,1,18.197347281439434,1,0,133.65,1,4,4,1,1,0,292
0,3,59.864841879080636,0,0,7.8958,0,2,0,0,0,0,293
0,1,29.0,1,0,66.6,1,0,1,0,0,0,140
1,1,41.0,0,0,134.5,0,5,4,2,1,1,284
1,3,45.0,0,0,8.05,0,5,0,0,0,0,294
0,1,45.0,0,0,35.5,0,5,3,0,0,0,295
1,2,2.0,1,1,26.0,2,3,3,0,0,0,137
1,1,24.0,3,2,263.0,5,0,4,2,1,0,26
0,2,28.0,0,0,13.0,0,0,0,0,0,0,296
0,2,25.0,0,0,13.0,0,0,0,0,0,0,297
0,2,36.0,0,0,13.0,0,1,0,0,0,0,298
1,2,24.0,0,0,13.0,0,0,0,2,1,0,299
1,2,40.0,0,0,13.0,0,1,0,2,1,0,300
1,3,28.58407996328641,1,0,16.1,1,0,0,1,1,0,301
1,3,3.0,1,1,15.9,2,3,0,0,0,0,302
0,3,42.0,0,0,8.6625,0,5,0,0,0,0,303
0,3,23.0,0,0,9.225,0,0,0,0,0,0,304
0,1,13.977650597734955,0,0,35.0,0,4,3,0,0,0,305
0,3,15.0,1,1,7.2292,2,4,0,0,0,1,306
0,3,25.0,1,0,17.8,1,0,0,0,0,0,48
0,3,35.92621599008698,0,0,7.225,0,1,0,0,0,1,307
0,3,28.0,0,0,9.5,0,0,0,0,0,0,308
1,1,22.0,0,1,55.0,1,0,2,2,1,0,154
0,2,38.0,0,0,13.0,0,1,0,2,1,0,309
1,3,9.527320079775937,0,0,7.8792,0,3,0,2,1,2,310
1,3,21.487824738993307,0,0,7.8792,0,0,0,2,1,2,311
0,3,40.0,1,4,27.9,5,1,3,0,0,0,62
0,2,29.0,1,0,27.7208,1,0,3,0,0,1,312
0,3,45.0,0,1,14.4542,1,5,0,1,1,1,313
0,3,35.0,0,0,7.05,0,1,0,0,0,0,314
0,3,4.612515252537271,1,0,15.5,1,3,0,0,0,2,168
0,3,30.0,0,0,7.25,0,0,0,0,0,0,315
1,1,60.0,1,0,75.25,1,2,1,1,1,1,316
1,3,35.581084151107476,0,0,7.2292,0,1,0,1,1,1,317
1,3,45.517950626691515,0,0,7.75,0,5,0,2,1,2,318
1,1,24.0,0,0,69.3,0,0,1,0,1,1,319
1,1,25.0,1,0,55.4417,1,0,2,0,0,1,320
0,3,18.0,1,0,6.4958,1,4,0,0,0,0,321
0,3,19.0,0,0,8.05,0,4,0,0,0,0,322
0,1,22.0,0,0,135.6333,0,0,4,0,0,1,240
0,3,3.0,3,1,21.075,4,3,3,2,1,0,7
1,1,12.892261827218025,1,0,82.1708,1,4,5,1,1,1,33
1,3,22.0,0,0,7.25,0,0,0,2,1,0,323
0,1,27.0,0,2,211.5,2,0,4,0,0,1,324
0,3,20.0,0,0,4.0125,0,4,0,0,0,1,325
0,3,19.0,0,0,7.775,0,4,0,0,0,0,326
1,1,42.0,0,0,227.525,0,5,4,2,1,1,327
1,3,1.0,0,2,15.7417,2,3,0,2,1,1,328
0,3,32.0,0,0,7.925,0,1,0,0,0,0,329
1,1,35.0,1,0,52.0,1,1,2,1,1,0,34
0,3,19.109487178864892,0,0,7.8958,0,4,0,0,0,0,330
0,2,18.0,0,0,73.5,0,4,1,0,0,0,70
0,3,1.0,5,2,46.9,7,3,2,0,0,0,58
1,2,36.0,0,0,13.0,0,1,0,2,1,0,331
0,3,46.928252619660825,0,0,7.7292,0,5,0,0,0,2,332
1,2,17.0,0,0,12.0,0,4,0,2,1,1,333
1,1,36.0,1,2,120.0,3,1,4,0,0,0,334
1,3,21.0,0,0,7.7958,0,0,0,0,0,0,335
0,3,28.0,2,0,7.925,2,0,0,0,0,0,336
1,1,23.0,1,0,113.275,1,0,4,2,1,1,193
1,3,24.0,0,2,16.7,2,0,0,1,1,0,10
0,3,22.0,0,0,7.7958,0,0,0,0,0,0,337
0,3,31.0,0,0,7.8542,0,1,0,2,1,0,338
0,2,46.0,0,0,26.0,0,5,3,0,0,0,339
0,2,23.0,0,0,10.5,0,0,0,2,0,0,340
1,2,28.0,0,0,12.65,0,0,0,1,1,0,341
1,3,39.0,0,0,7.925,0,1,0,0,0,0,342
0,3,26.0,0,0,8.05,0,0,0,0,0,0,343
0,3,21.0,1,0,9.825,1,0,0,2,1,0,344
0,3,28.0,1,0,15.85,1,0,0,0,0,0,132
0,3,20.0,0,0,8.6625,0,4,0,2,1,0,345
0,2,34.0,1,0,21.0,1,1,3,0,0,0,346
0,3,51.0,0,0,7.75,0,2,0,0,0,0,347
1,2,3.0,1,1,18.75,2,3,0,0,0,0,348
0,3,21.0,0,0,7.775,0,0,0,0,0,0,349
0,3,38.005051689926006,3,1,25.4667,4,1,3,2,1,0,160
0,3,49.95240690310217,0,0,7.8958,0,5,0,0,0,0,350
0,3,45.62303955498619,0,0,6.8583,0,5,0,0,0,2,351
1,1,33.0,1,0,90.0,1,1,5,2,1,2,219
0,2,35.93036819397871,0,0,0.0,0,1,0,0,0,0,247
1,3,44.0,0,0,7.925,0,5,0,0,0,0,352
0,3,33.20962120648082,0,0,8.05,0,1,0,1,1,0,353
1,2,34.0,1,1,32.5,2,1,3,1,1,0,354
1,2,18.0,0,2,13.0,2,4,0,2,1,0,355
0,2,30.0,0,0,13.0,0,0,0,0,0,0,356
0,3,10.0,0,2,24.15,2,3,3,2,1,0,357
0,3,34.33591957695249,0,0,7.8958,0,1,0,0,0,1,358
0,3,21.0,0,0,7.7333,0,0,0,0,0,2,359
0,3,29.0,0,0,7.875,0,0,0,0,0,0,360
0,3,28.0,1,1,14.4,2,0,0,1,1,0,361
0,3,18.0,1,1,20.2125,2,4,3,0,0,0,227
0,3,30.737423883952623,0,0,7.25,0,1,0,0,0,0,362
1,2,28.0,1,0,26.0,1,0,3,1,1,0,363
1,2,19.0,0,0,26.0,0,4,3,2,1,0,364
0,3,30.237387314343035,0,0,7.75,0,1,0,0,0,2,365
1,3,32.0,0,0,8.05,0,1,0,0,0,0,366
1,1,28.0,0,0,26.55,0,0,3,0,0,0,367
1,3,52.2263621002984,1,0,16.1,1,2,0,1,1,0,368
1,2,42.0,1,0,26.0,1,5,3,1,1,0,369
0,3,17.0,0,0,7.125,0,4,0,0,0,0,370
0,1,50.0,1,0,55.9,1,5,2,0,0,0,371
1,1,14.0,1,2,120.0,3,4,4,2,1,0,334
0,3,21.0,2,2,34.375,4,0,3,2,1,0,84
1,2,24.0,2,3,18.75,5,0,0,1,1,0,348
0,1,64.0,1,4,263.0,5,6,4,0,0,0,26
0,2,31.0,0,0,10.5,0,1,0,0,0,0,372
1,2,45.0,1,1,26.25,2,5,3,1,1,0,280
0,3,20.0,0,0,9.5,0,4,0,0,0,0,373
0,3,25.0,1,0,7.775,1,0,0,0,0,0,374
1,2,28.0,0,0,13.0,0,0,0,0,1,0,375
1,3,30.785832960378194,0,0,8.1125,0,1,0,0,0,0,376
